file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
REAL-FM-18_1.xml	malik_fanin	NONE	0.0062140000	0	0	5.56816e+07	699	28.26086956521739	37.0	54.0	2.0	67.56756756756756	45.86638580669497	67.56756756756756	91	423
SPLOT-3CNF-FM-500-50-1.00-SAT-6.xml	malik_fanin	NONE	0.1130960000	2.92682	0	1.49115e+55	17030	8.260105448154658	500.0	619.0	2.0	54.7	64.06387437550121	54.7	1766811	643761
REAL-FM-3.xml	malik_fanin	NONE	0.0042300000	0	0	2.1208e+06	282	22.448979591836736	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77	335
/Users/rbean/temp/xml/46_79_2.xml	malik_fanin	NONE	0.0071090000	2.16181	0	1.03676e+11	2451	81.81818181818183	64.0	107.0	2.0	92.1875	11.048543456039805	92.1875	2399304	54971
1_140_1.xml	malik_fanin	NONE	0.0156810000	30.74	0	7.02159e+29	4852	49.275362318840585	137.0	171.0	2.0	74.81751824817519	35.613407227643634	74.81751824817519	13440479	6926370
SPLOT-3CNF-FM-500-50-1.00-SAT-4.xml	malik_fanin	NONE	0.1197380000	0.61096	0	6.95605e+54	16414	8.348134991119005	500.0	613.0	2.0	54.7	64.06387437550121	54.7	612875	146528
36_139_1.xml	malik_fanin	NONE	0.0114470000	0.011742	0	2.52373e+20	5302	18.6046511627907	128.0	139.0	2.0	59.375	57.45242597140699	59.375	243	1569
SPLOT-3CNF-FM-500-50-1.00-SAT-1_1.xml	malik_fanin	NONE	0.0958080000	4.06197	0	3.76889e+75	31195	8.63970588235294	477.0	592.0	2.0	54.926624737945495	63.74337859752944	54.926624737945495	781787	5770315
REAL-FM-11.xml	malik_fanin	NONE	0.0082060000	0	0	6400	457	10.95890410958904	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	87	279
/Users/rbean/temp/xml/46_79.xml	malik_fanin	NONE	0.0070660000	7059.23	0	1.03676e+11	3570	91.35802469135803	79.0	144.0	2.0	96.83544303797468	4.4753593745984	96.83544303797468	543073512	72123
15_134_1.xml	malik_fanin	NONE	0.0120850000	0.00768	0	1.60491e+19	3518	2.3622047244094486	123.0	128.0	2.0	51.21951219512195	68.98602743283391	51.21951219512195	225	278
REAL-FM-19_1.xml	malik_fanin	NONE	0.0012820000	0	0	240	173	21.73913043478261	20.0	28.0	2.0	62.5	53.033008588991066	62.5	29	58
model_20130307_609838668.xml	malik_fanin	NONE	0.0179220000	0.00306	0	5.25823e+31	4691	2.631578947368421	176.0	194.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	230	237
SPLOT-3CNF-FM-500-50-1.00-SAT-2_1.xml	malik_fanin	NONE	0.1104720000	9.8113	0	9.95451e+56	24413	8.51063829787234	494.0	614.0	2.0	54.8582995951417	63.84000494113364	54.8582995951417	3556447	463701
/Users/rbean/temp/xml/46_79_1.xml	malik_fanin	NONE	0.0066890000	3.27004	0	1.03676e+11	2794	82.35294117647058	66.0	114.0	2.0	92.42424242424242	10.713739108887086	92.42424242424242	2399454	54995
27_127_1.xml	malik_fanin	NONE	0.0124750000	0.007299	0	1.17181e+27	3271	21.25984251968504	125.0	137.0	2.0	60.8	55.43717164502532	60.8	597	2069
36_139.xml	malik_fanin	NONE	0.0146400000	0.00429	0	2.52373e+20	5549	20.714285714285715	139.0	152.0	2.0	60.431654676258994	55.958090597496565	60.431654676258994	248	1393
REAL-FM-3_1.xml	malik_fanin	NONE	0.0058860000	0	0	2.1208e+06	217	23.91304347826087	40.0	52.0	2.0	63.75	51.2652416360247	63.75	74	224
35_119_1.xml	malik_fanin	NONE	0.0077010000	0.003775	0	8.47282e+09	3942	0.0	96.0	99.0	1.0	100.0		100.0	156	156
35_119.xml	malik_fanin	NONE	0.0104290000	0.012854	0	8.47282e+09	3500	2.459016393442623	119.0	123.0	2.0	51.260504201680675	68.92805598120968	51.260504201680675	180	180
SPLOT-3CNF-FM-500-50-1.00-SAT-9_1.xml	malik_fanin	NONE	0.1051610000	8.30546	0	1.82947e+54	18541	8.73440285204991	498.0	610.0	2.0	54.91967871485944	63.753201757582296	54.91967871485944	3985661	205439
68_108_1.xml	malik_fanin	NONE	0.0082690000	0.010586	0	3.97981e+14	2656	20.0	98.0	107.0	2.0	60.20408163265306	56.2799274821946	60.20408163265306	270	788
SPLOT-3CNF-FM-500-50-1.00-SAT-9.xml	malik_fanin	NONE	0.1124790000	24.0066	0	1.82947e+54	19089	8.880994671403197	500.0	613.0	2.0	55.0	63.63961030678928	55.0	7642543	535500
62_175.xml	malik_fanin	NONE	0.0167020000	0.011954	0	3.19659e+18	5761	7.777777777777778	175.0	185.0	2.0	54.0	65.05382386916237	54.0	241	692
REAL-FM-4_1.xml	malik_fanin	NONE	0.0401490000	0.02492	0	4.52041e+49	13276	11.333333333333332	261.0	321.0	2.0	56.513409961685824	61.49932541354264	56.513409961685824	6315	22623
25_112.xml	malik_fanin	NONE	0.0078890000	0.995302	0	6.48294e+11	4456	53.44827586206896	112.0	144.0	2.0	77.67857142857143	31.567267017256583	77.67857142857143	2010506	1606
