file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001712	1.6e-05	0.000238	2.8e-05	0.002381
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.0002	5.8e-05	0.000104	0.000108	0.000327
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000334	8.6e-05	0.000284	0.000109	0.000636
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000287	0.000209	0.000249	0.00055
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000261	2.1e-05	0.000111	3.2e-05	0.000392
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.3e-05	0.000149	7.3e-05	0.000361
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.00091	0.000106	4.7e-05	0.000131	0.00115
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000169	6.5e-05	9.3e-05	8.5e-05	0.000337
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004495	0.077996	3.8e-05	0.01999	0.104352
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.006078	4.8568	0.000549	0.570968	5.5229
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000762	9.5e-05	0.000173	0.000118	0.001037
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000309	6.6e-05	3.8e-05	0.000107	0.000392
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000315	0.000518	0.000153	0.000584	0.001194
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001682	1.8e-05	0.000309	3e-05	0.002178
HIS	FORCE		10.95890410958904	37	0	103	23	0.00044	1.9e-05	0.000144	5.2e-05	0.000614
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000203	3.2e-05	0.00011	0.000135	0.000255
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.5e-05	7.1e-05	4.7e-05	0.000196
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000229	2.6e-05	0.000163	5.5e-05	0.000467
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011792	0.000184	0.002679	0.001107	0.014848
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002902	6.49982	0.003505	0.055787	6.62868
eCos_compat	FORCE		21.428571428571427	1	1	29	7	7.5e-05	2.1e-05	6.2e-05	3.4e-05	0.000202
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6.6e-05	9e-06	6e-05	2.7e-05	0.000126
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7.1e-05	1.8e-05	6e-05	3.2e-05	0.000246
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000812	0.000102	0.000362	0.000116	0.001238
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001591	1.5e-05	0.000233	2.9e-05	0.001562
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000199	6.3e-05	0.000106	0.000107	0.000446
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000333	8.3e-05	0.000285	0.000109	0.000709
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000272	0.000209	0.000247	0.000573
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.00029	2e-05	0.000114	3.5e-05	0.000466
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000197	6.7e-05	0.000152	7.5e-05	0.000368
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000885	9.9e-05	4.6e-05	0.00013	0.001191
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000161	6.4e-05	8.9e-05	8.1e-05	0.000105
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004429	0.07571	3.8e-05	0.020101	0.10133
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005477	4.82987	0.000552	0.563531	5.48823
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.00074	9.6e-05	0.000168	0.000119	0.000896
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000333	6.5e-05	3.9e-05	0.000109	0.000536
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000319	0.000514	0.000155	0.000573	0.001197
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001639	1.9e-05	0.000313	3.2e-05	0.002029
HIS	FORCE		10.95890410958904	37	0	103	23	0.000439	1.9e-05	0.000146	5.2e-05	0.000492
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000206	3.2e-05	0.000121	0.000135	0.000402
Graph	FORCE		21.21212121212121	11	0	41	16	0.000119	2.6e-05	7.1e-05	4.4e-05	6.6e-05
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000202	2.4e-05	0.000166	5.4e-05	0.000398
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011521	0.000185	0.002661	0.001103	0.014493
